2020-08-16 19:26:14.0005||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:14.0005||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:14.0186||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:19.2200||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:19.2200||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:19.2200||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:19.2391||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:19.2391||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:19.2538||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:56.2148||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:56.2378||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:56.2559||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:56.2658||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:56.2658||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:56.2859||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.2598||TRACE|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.2690||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.2690||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.2690||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.2858||DEBUG|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
2020-08-16 19:26:57.2858||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: https://localhost/|action: Index
