2020-08-16 18:13:22.5341||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:22.5341||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:22.5341||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:50.4396||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 18:13:50.9379|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:13:51.0631||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:51.0631||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:51.0631||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:13:51.0631||INFO|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:17:09.3537||INFO|Asp.NetCore.Logging.Nlog.Program|Proje Ayağa Kalkıyor..... |url: |action: 
2020-08-16 18:17:09.8491|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2020-08-16 18:17:09.9422||WARN|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:17:09.9422||ERROR|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
2020-08-16 18:17:09.9422||FATAL|Asp.NetCore.Logging.Nlog.Controllers.HomeController|Index Controller Enterance |url: http://localhost/|action: Index
